count,accuracy,kappa,memory
1000,0.7970000000000002,0.025485431795598357,400
2000,0.8089999999999999,0.0,400
3000,0.788,0.0,400
4000,0.817,0.0,400
5000,0.7829999999999999,0.0,400
6000,0.795,0.05121012194084281,400
7000,0.611,0.05963234347256774,26080
8000,0.8760000000000001,0.7433236842917081,28264
9000,0.892,0.761135054549199,30880
10000,0.641,0.12615256260006283,32736
11000,0.8230000000000001,0.5143119983746465,33104
12000,0.8960000000000001,0.7455810410948401,37016
13000,0.9369999999999999,0.8714476972383934,37992
14000,0.943,0.8728665457575436,38632
15000,0.9299999999999999,0.8023325212203882,39304
16000,0.9480000000000001,0.8975265167086025,39640
17000,0.9490000000000001,0.8763266266739776,39672
18000,0.9530000000000001,0.8999038851770216,39672
19000,0.9430000000000002,0.8536268709405226,39704
20000,0.937,0.8559776027038641,40040
21000,0.9459999999999997,0.8352140680458803,40312
22000,0.7490000000000001,0.2653958304728856,46832
23000,0.874,0.7622111927386223,47136
24000,0.885,0.761473024546501,47680
25000,0.552,-0.002034205602477668,50528
26000,0.734,0.4350885364793274,50560
27000,0.7899999999999999,0.5685527722166236,50592
28000,0.788,0.32766837015406813,50816
29000,0.8370000000000001,0.55078466065102,52432
30000,0.8640000000000001,0.5027198735299768,52528
31000,0.876,0.6162051413355583,52896
32000,0.8779999999999999,0.5583920295161724,53776
33000,0.8940000000000001,0.575018365077122,53872
34000,0.889,0.5319284643441413,53904
35000,0.8950000000000001,0.6509612574384731,54032
36000,0.8989999999999998,0.6713460116010569,54336
37000,0.9,0.5906397658864175,54400
38000,0.908,0.6491985098957711,54736
39000,0.8920000000000001,0.643232791786183,54736
40000,0.657,0.036479510500900814,62680
41000,0.7910000000000001,0.4812475821460849,63176
42000,0.8089999999999999,0.5584383432632272,63208
43000,0.819,0.384290987934775,63592
44000,0.876,0.49518051413642306,64664
45000,0.914,0.6362580183663646,64792
46000,0.817,0.41579826842145684,69560
47000,0.9419999999999998,0.8643693570947095,69928
48000,0.943,0.8854384220319929,70264
49000,0.759,0.27444605989653353,72136
50000,0.906,0.8482033837702222,72264
51000,0.907,0.8014870059454882,72568
52000,0.7679999999999999,0.2714417539146966,73048
53000,0.931,0.8544149730172117,73736
54000,0.96,0.9110708863915026,74440
55000,0.817,0.4213954624043114,76664
56000,0.9179999999999999,0.6699108708034429,76728
57000,0.923,0.7306411893265338,76760
58000,0.8039999999999999,0.4019625121704119,78760
59000,0.9419999999999998,0.8714479623122676,78760
60000,0.943,0.8689218319049669,78920
61000,0.944,0.8918484010169344,78920
62000,0.95,0.8703971014365987,79352
63000,0.938,0.8309115540504273,79352
64000,0.6260000000000001,0.11304980479870545,94480
65000,0.696,0.28546573592098745,94672
66000,0.76,0.3896722526949244,94672
67000,0.624,0.2370350603830543,95600
68000,0.932,0.8601635525237923,96240
69000,0.9479999999999998,0.8943847811900099,96272
70000,0.6980000000000002,0.22014428448440498,99888
71000,0.806,0.4958796734474862,99920
72000,0.8460000000000001,0.6380725815575068,100192
73000,0.6960000000000001,0.32059528079709537,100672
74000,0.9260000000000002,0.7743748049551774,101424
75000,0.9410000000000001,0.8584335774134992,101488
76000,0.722,0.28312505934774285,102576
77000,0.826,0.6086343329469803,102608
78000,0.8629999999999999,0.7071758799879095,102640
79000,0.716,0.29012297634547307,103344
80000,0.9389999999999998,0.8534124489386959,60832
81000,0.946,0.8703242738044796,61648
82000,0.576,0.10079078988093489,74752
83000,0.6769999999999999,0.33811342074952944,76352
84000,0.735,0.4661411235851083,77440
85000,0.7870000000000001,0.47663798345898956,78496
86000,0.9399999999999998,0.865957833732075,78688
87000,0.933,0.8618621139345322,79120
88000,0.943,0.8700082155129876,79456
89000,0.9440000000000002,0.862380535372034,80128
