count,accuracy,kappa,memory
1000,0.7970000000000002,0.025485431795598357,400
2000,0.8089999999999999,0.0,400
3000,0.788,0.0,400
4000,0.817,0.0,400
5000,0.7829999999999999,0.0,400
6000,0.795,0.05121012194084281,400
7000,0.611,0.05963234347256774,26080
8000,0.8760000000000001,0.7433236842917081,28264
9000,0.8939999999999999,0.7640194075655532,31296
10000,0.6639999999999999,0.138354120855655,35856
11000,0.866,0.6342854183774083,38616
12000,0.914,0.7841468563155337,40104
13000,0.946,0.8987492515141833,40808
14000,0.9499999999999998,0.880413660996225,41688
15000,0.9359999999999999,0.8234355588231959,42568
16000,0.9390000000000001,0.8774479090048896,43384
17000,0.95,0.8775507380028393,43384
18000,0.9519999999999997,0.9004120017817907,43384
19000,0.9410000000000001,0.8530375071128496,43656
20000,0.9369999999999999,0.8532564982637222,43960
21000,0.954,0.8574298170954521,43992
22000,0.773,0.30368515691870596,48928
23000,0.875,0.7539916000887165,49200
24000,0.889,0.7653823965853299,49744
25000,0.913,0.8423736083618627,50016
26000,0.8979999999999999,0.8282404836480769,50992
27000,0.905,0.7941872258218787,50992
28000,0.6859999999999999,0.10253074179464124,56272
29000,0.8150000000000001,0.2850583417161343,56304
30000,0.8530000000000001,0.2875724859725561,56336
31000,0.8219999999999998,0.16686502395084646,56368
32000,0.8210000000000001,0.2055375723072074,56944
33000,0.828,0.18513257456451576,56976
34000,0.8310000000000001,0.13589790609850408,57520
35000,0.834,0.22911226385141745,57584
36000,0.857,0.38561975641808244,57584
37000,0.8700000000000001,0.36892458340892764,57584
38000,0.866,0.3960006471444193,57616
39000,0.882,0.5639375044744522,57616
40000,0.692,0.15781222583115592,59376
41000,0.901,0.8095557541808912,59744
42000,0.917,0.848602262438374,59744
43000,0.766,0.1784538214794366,67016
44000,0.897,0.5807543165311188,67048
45000,0.8880000000000001,0.5169483714742386,67144
46000,0.7979999999999999,0.37222272246281063,70152
47000,0.938,0.8656804791220143,70456
48000,0.9380000000000001,0.8799087174981249,70760
49000,0.9440000000000002,0.8694237536672984,71368
50000,0.9359999999999999,0.870905250404638,72280
51000,0.9629999999999999,0.9152957750392394,72888
52000,0.953,0.8828694688062002,73160
53000,0.945,0.87096166676533,73288
54000,0.9460000000000001,0.8631673996110374,73416
55000,0.7829999999999999,0.3667733784180517,75384
56000,0.9100000000000001,0.6755784288406612,75640
57000,0.899,0.6769853189405217,76184
58000,0.805,0.4017598662307158,63656
59000,0.9530000000000001,0.8981282144467861,64200
60000,0.9399999999999998,0.829339883344686,64232
61000,0.9489999999999998,0.8926861761984639,64504
62000,0.9490000000000001,0.8828552429669578,65112
63000,0.954,0.902784401967651,65112
64000,0.6880000000000001,0.18829610350050116,70776
65000,0.8879999999999999,0.7581858165873762,71416
66000,0.923,0.8218222445766605,72088
67000,0.837,0.3535868713463821,73816
68000,0.9489999999999998,0.8856449397510813,87760
69000,0.9439999999999997,0.8797747625966548,87760
70000,0.7929999999999999,0.36639977025922627,89712
71000,0.9209999999999999,0.8731073247356351,90048
72000,0.916,0.8229339476116418,90208
73000,0.7959999999999999,0.28308677565937673,91456
74000,0.945,0.864076375367134,91520
75000,0.95,0.8871525520886456,91744
76000,0.8259999999999998,0.4336237651687121,94080
77000,0.9099999999999999,0.8253846211457396,94112
78000,0.9349999999999998,0.8722219201080451,94144
79000,0.844,0.4303146051762147,95856
80000,0.952,0.8917629808536335,96256
81000,0.937,0.882276111395526,96256
82000,0.9400000000000001,0.8661183525219744,96256
83000,0.9490000000000001,0.8607365527109113,96416
84000,0.9540000000000001,0.8848096178194558,96448
85000,0.9510000000000002,0.873970747054012,96512
86000,0.9489999999999998,0.8742711737831422,96544
87000,0.9480000000000001,0.8860380217410923,96704
